"Country","year","sexRatio"
"Afghanistan","1950",107.331
"AFRICA","1950",97.892
"Albania","1950",101.419
"Algeria","1950",104.13
"Angola","1950",96.284
"Argentina","1950",106.05
"Armenia","1950",90.276
"Aruba","1950",93.592
"ASIA","1950",106.042
"Australia","1950",101.693
"Australia/New Zealand","1950",101.573
"Austria","1950",86.64
"Azerbaijan","1950",88.969
"Bahamas","1950",86.638
"Bahrain","1950",116.115
"Bangladesh","1950",115.915
"Barbados","1950",85.088
"Belarus","1950",79.241
"Belgium","1950",97.168
"Belize","1950",95.929
"Benin","1950",87.234
"Bhutan","1950",105.238
"Bolivia","1950",99.461
"Bosnia and Herzegovina","1950",93.311
"Botswana","1950",93.829
"Brazil","1950",98.446
"Brunei","1950",106.013
"Bulgaria","1950",99.918
"Burkina Faso","1950",110.343
"Burundi","1950",91.883
"Cambodia","1950",99.991
"Cameroon","1950",96.13
"Canada","1950",102.97
"Cape Verde","1950",83.059
"Caribbean","1950",100.787
"Central African Rep.","1950",97.221
"Central America","1950",99.443
"Chad","1950",97.453
"Channel Islands","1950",92.361
"Chile","1950",98.143
"China","1950",108.118
"Hong Kong, China","1950",105.668
"Macao, China","1950",111.377
"Colombia","1950",99.111
"Comoros","1950",98.83
"Congo, Rep.","1950",96.56
"Costa Rica","1950",104.196
"Cote d'Ivoire","1950",102.788
"Croatia","1950",90.996
"Cuba","1950",106.786
"Cyprus","1950",97.306
"Czech Rep.","1950",94.532
"Korea, Dem. Rep.","1950",84.263
"Congo, Dem. Rep.","1950",88.119
"Denmark","1950",98.375
"Djibouti","1950",98.568
"Dominican Rep.","1950",103.728
"Eastern Africa","1950",98.053
"Eastern Asia","1950",105.876
"Eastern Europe","1950",80.839
"Ecuador","1950",98.819
"Egypt","1950",98.883
"El Salvador","1950",97.398
"Equatorial Guinea","1950",96.705
"Eritrea","1950",98.005
"Estonia","1950",74.353
"Ethiopia","1950",98.157
"EUROPE","1950",87.415
"Fiji","1950",109.421
"Finland","1950",91.543
"France","1950",92.568
"French Guiana","1950",107.754
"French Polynesia","1950",105.248
"Gabon","1950",95.036
"Gambia","1950",94.951
"Georgia","1950",85.848
"Germany","1950",85.386
"Ghana","1950",102.215
"Greece","1950",95.05
"Grenada","1950",84.677
"Guadeloupe","1950",92.661
"Guam","1950",210.742
"Guatemala","1950",102.106
"Guinea","1950",99.469
"Guinea-Bissau","1950",97.896
"Guyana","1950",95.335
"Haiti","1950",95.295
"Honduras","1950",101.163
"Hungary","1950",92.616
"Iceland","1950",98.619
"India","1950",108.033
"Indonesia","1950",98.434
"Iran","1950",103.11
"Iraq","1950",99.494
"Ireland","1950",103.635
"Israel","1950",105.824
"Italy","1950",94.857
"Jamaica","1950",94.739
"Japan","1950",96.27
"Jordan","1950",107.876
"Kazakhstan","1950",93.77
"Kenya","1950",101.736
"Kuwait","1950",146.359
"Kyrgyzstan","1950",90.96
"Laos","1950",97.109
"LATIN AMERICA AND THE CARIBBEAN","1950",100.017
